@relation movers
@attribute party_id real
@attribute session_count real
@attribute event_count real
@attribute homepage {t, f}
@attribute tv_home_theater {t, f}
@attribute computer_tables {t, f}
@attribute cell_phones {t, f}
@attribute cameras_camcorders {t, f}
@attribute audio_mp3 {t, f}
@attribute car_electronics_gps {t, f}
@attribute video_games_movies_music {t, f}
@attribute health_fitness {t, f}
@attribute home_office {t, f}
@attribute small_appliances {t, f}
@attribute appliances {t, f}
@attribute clearance {t, f}
@attribute searched {t, f}
@attribute list_page {t, f}
@attribute pdp {t, f}
@attribute cart_view {t, f}
@attribute conversion {t, f}
@attribute movers {t, f}
@data
537130839,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
537130839,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
537130839,1,19,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
537223145,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
537223145,1,35,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
537223145,1,60,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
538203044,1,26,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,?
538490762,1,24,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,?
538602060,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
538671217,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
538671217,1,53,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
538843438,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
538843605,1,14,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
540307230,1,22,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,f,?
540307230,1,23,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
540878793,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
541818903,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
542236219,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
5480327,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
5483225,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
5483494,1,34,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
5485554,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
5912354,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,?
6045406,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
6045406,1,13,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,?
6045406,1,16,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
6218381,1,82,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,?
6230030,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
6258240,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
6258240,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
6258240,1,16,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
6544630,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
675828122,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
675828122,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
675828122,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
675829213,1,19,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,f,?
675834210,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
675834210,1,34,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
676564908,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
676582258,1,17,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
676721733,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
676963523,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
677800279,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
